[Sys Thread: 1] INFO | 07-03-2025 09:54:51.608 | DBLOGGER Initiated
[System: 192.168.1.98] INFO | 07-03-2025 09:54:57.487 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_GetClientUserDetails2C
[System: 192.168.1.98] INFO | 07-03-2025 09:54:57.580 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.98] INFO | 07-03-2025 09:54:57.815 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_GetClientUserDetails2C
[System: 192.168.1.98] INFO | 07-03-2025 09:54:57.862 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.98] INFO | 07-03-2025 09:54:57.955 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_UserLoginCheck
[System: 192.168.1.98] INFO | 07-03-2025 09:54:57.955 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.77] INFO | 07-03-2025 09:56:17.855 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_GetClientUserDetails2C
[System: 192.168.1.77] INFO | 07-03-2025 09:56:17.901 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.77] INFO | 07-03-2025 09:56:17.933 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_GetClientUserDetails2C
[System: 192.168.1.77] INFO | 07-03-2025 09:56:17.979 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.77] INFO | 07-03-2025 09:56:18.058 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_UserLoginCheck
[System: 192.168.1.77] INFO | 07-03-2025 09:56:18.073 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.98] INFO | 07-03-2025 09:58:17.998 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_GetClientUserDetails2C
[System: 192.168.1.98] INFO | 07-03-2025 09:58:18.060 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.98] INFO | 07-03-2025 09:58:18.076 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_GetClientUserDetails2C
[System: 192.168.1.98] INFO | 07-03-2025 09:58:18.123 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.98] INFO | 07-03-2025 09:58:18.170 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_UserLoginCheck
[System: 192.168.1.98] INFO | 07-03-2025 09:58:18.170 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.98] INFO | 07-03-2025 09:58:38.280 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_GetClientUserDetails2C
[System: 192.168.1.98] INFO | 07-03-2025 09:58:38.327 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.98] INFO | 07-03-2025 09:58:38.342 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_GetClientUserDetails2C
[System: 192.168.1.98] INFO | 07-03-2025 09:58:38.374 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.98] INFO | 07-03-2025 09:58:38.436 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_UserLoginCheck
[System: 192.168.1.98] INFO | 07-03-2025 09:58:38.436 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
