[System: 192.168.1.98] INFO | 06-12-2025 11:29:56.318 | Common:: DecodeBase64 START
[System: 192.168.1.98] INFO | 06-12-2025 11:29:56.318 | Common:: deCodeLevel1 START
[System: 192.168.1.98] INFO | 06-12-2025 11:29:56.318 | Common:: DecodeBase64 START
[System: 192.168.1.98] ERROR | 06-12-2025 11:29:56.334 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] INFO | 06-12-2025 11:30:04.474 | Common:: DecodeBase64 START
[System: 192.168.1.98] INFO | 06-12-2025 11:30:04.474 | Common:: deCodeLevel1 START
[System: 192.168.1.98] INFO | 06-12-2025 11:30:04.474 | Common:: DecodeBase64 START
[System: 192.168.1.98] ERROR | 06-12-2025 11:30:04.599 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:31:02.596 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] INFO | 06-12-2025 11:31:04.487 | Common:: DecodeBase64 START
[System: 192.168.1.98] INFO | 06-12-2025 11:31:04.487 | Common:: deCodeLevel1 START
[System: 192.168.1.98] INFO | 06-12-2025 11:31:04.487 | Common:: DecodeBase64 START
[System: 192.168.1.98] ERROR | 06-12-2025 11:31:04.596 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] INFO | 06-12-2025 11:32:04.484 | Common:: DecodeBase64 START
[System: 192.168.1.98] INFO | 06-12-2025 11:32:04.484 | Common:: deCodeLevel1 START
[System: 192.168.1.98] INFO | 06-12-2025 11:32:04.484 | Common:: DecodeBase64 START
[System: 192.168.1.98] ERROR | 06-12-2025 11:32:04.609 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] INFO | 06-12-2025 11:33:05.491 | Common:: DecodeBase64 START
[System: 192.168.1.98] INFO | 06-12-2025 11:33:05.491 | Common:: deCodeLevel1 START
[System: 192.168.1.98] INFO | 06-12-2025 11:33:05.491 | Common:: DecodeBase64 START
[System: 192.168.1.98] ERROR | 06-12-2025 11:33:05.601 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] INFO | 06-12-2025 11:33:52.024 | Common:: DecodeBase64 START
[System: 192.168.1.98] INFO | 06-12-2025 11:33:52.024 | Common:: deCodeLevel1 START
[System: 192.168.1.98] INFO | 06-12-2025 11:33:52.024 | Common:: DecodeBase64 START
[System: 192.168.1.98] INFO | 06-12-2025 11:33:52.024 | Common:: IsBase64 Checking START
[System: 192.168.1.98] INFO | 06-12-2025 11:33:52.024 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.98] INFO | 06-12-2025 11:33:52.086 | Administration:: Entering LDAPChecking
[System: 192.168.1.98] INFO | 06-12-2025 11:33:52.101 | isValidUser:: True
