[System: 192.168.1.77] INFO | 07-18-2025 15:32:54.113 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.77] ERROR | 07-18-2025 15:32:54.128 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-18-2025 15:32:54.144 | Common:: IsBase64 Checking START
[System: 192.168.1.77] INFO | 07-18-2025 15:32:54.144 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-18-2025 15:32:54.144 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.77] INFO | 07-18-2025 15:32:54.160 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.77] ERROR | 07-18-2025 15:32:54.160 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-18-2025 15:32:54.191 | Common:: IsBase64 Checking START
[System: 192.168.1.77] INFO | 07-18-2025 15:32:54.191 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-18-2025 15:32:54.191 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.77] INFO | 07-18-2025 15:32:54.207 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.77] ERROR | 07-18-2025 15:32:54.207 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 07-18-2025 15:32:57.581 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 07-18-2025 15:32:57.581 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 07-18-2025 15:32:57.581 | Common:: DecodeBase64 START
[System: 192.168.1.79] ERROR | 07-18-2025 15:32:57.691 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-18-2025 15:32:59.760 | Common:: IsBase64 Checking START
[System: 192.168.1.77] INFO | 07-18-2025 15:32:59.760 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-18-2025 15:32:59.760 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.77] INFO | 07-18-2025 15:33:00.135 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.77] ERROR | 07-18-2025 15:33:00.135 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.73] INFO | 07-18-2025 15:33:11.400 | Common:: DecodeBase64 START
[System: 192.168.1.73] INFO | 07-18-2025 15:33:11.400 | Common:: deCodeLevel1 START
[System: 192.168.1.73] INFO | 07-18-2025 15:33:11.400 | Common:: DecodeBase64 START
[System: 192.168.1.73] ERROR | 07-18-2025 15:33:11.432 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-18-2025 15:33:11.775 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-18-2025 15:33:11.775 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 07-18-2025 15:33:11.775 | Common:: DecodeBase64 START
[System: 192.168.1.77] ERROR | 07-18-2025 15:33:11.807 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-18-2025 15:33:32.949 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-18-2025 15:33:32.949 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 07-18-2025 15:33:32.949 | Common:: DecodeBase64 START
