[Sys Thread: 15] INFO | 07-09-2025 11:21:15.132 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 15] INFO | 07-09-2025 11:21:15.132 | Installed Printers Count :3
[Sys Thread: 15] INFO | 07-09-2025 11:21:15.148 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 15] INFO | 07-09-2025 11:21:15.148 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.54] INFO | 07-09-2025 11:21:18.389 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-09-2025 11:21:18.389 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-09-2025 11:21:18.389 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07-09-2025 11:21:18.763 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07-09-2025 11:22:04.611 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-09-2025 11:22:04.611 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-09-2025 11:22:04.611 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07-09-2025 11:22:04.736 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] ERROR | 07-09-2025 11:22:36.666 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07-09-2025 11:23:05.587 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-09-2025 11:23:05.587 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-09-2025 11:23:05.587 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07-09-2025 11:23:05.712 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07-09-2025 11:24:06.596 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-09-2025 11:24:06.596 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-09-2025 11:24:06.596 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07-09-2025 11:24:06.721 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07-09-2025 11:25:07.596 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-09-2025 11:25:07.596 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-09-2025 11:25:07.596 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07-09-2025 11:25:07.737 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07-09-2025 11:26:08.595 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-09-2025 11:26:08.595 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-09-2025 11:26:08.595 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07-09-2025 11:26:08.704 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07-09-2025 11:27:09.600 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-09-2025 11:27:09.600 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-09-2025 11:27:09.600 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07-09-2025 11:27:09.710 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] ERROR | 07-09-2025 11:27:36.595 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07-09-2025 11:28:10.587 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-09-2025 11:28:10.587 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-09-2025 11:28:10.587 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07-09-2025 11:28:10.712 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07-09-2025 11:29:11.596 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-09-2025 11:29:11.596 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-09-2025 11:29:11.596 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07-09-2025 11:29:11.706 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07-09-2025 11:30:12.592 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-09-2025 11:30:12.592 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-09-2025 11:30:12.592 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07-09-2025 11:30:12.717 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07-09-2025 11:31:13.587 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-09-2025 11:31:13.587 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-09-2025 11:31:13.587 | Common:: DecodeBase64 START
